# Full-ISA Z80N golden vectors from the Spectrum Next FPGA Z80N core (HDL simulation of the core source).
# fmt: opcodehex AF BC DE HL IX IY memHL memDE | (post) AF BC DE HL IX IY memHL memDE  name
8A 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 4B18 C0F0 3CC3 00FF F00F 0FF0 00 00 ADC_A_D
8A 1093 55AA 2710 7FFF 8000 00C0 00 00 | 3828 55AA 2710 7FFF 8000 00C0 00 00 ADC_A_D
8B 0000 0001 0408 1234 5678 C0DE 00 00 | 0808 0001 0408 1234 5678 C0DE 00 00 ADC_A_E
8B 00FF 0102 8001 4123 00FF 0001 00 00 | 0200 0102 8001 4123 00FF 0001 00 00 ADC_A_E
8B FF28 FF7F 1020 8001 BEEF 1357 00 00 | 1F09 FF7F 1020 8001 BEEF 1357 00 00 ADC_A_E
8B 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 9294 8040 AA55 FFFF 0F0F 8080 00 00 ADC_A_E
8B 8055 0F10 7F80 0001 1234 4321 00 00 | 0105 0F10 7F80 0001 1234 4321 00 00 ADC_A_E
8B 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | D290 C0F0 3CC3 00FF F00F 0FF0 00 00 ADC_A_E
8B 1093 55AA 2710 7FFF 8000 00C0 00 00 | 2120 55AA 2710 7FFF 8000 00C0 00 00 ADC_A_E
8C 0000 0001 0408 1234 5678 C0DE 00 00 | 1200 0001 0408 1234 5678 C0DE 00 00 ADC_A_H
8C 00FF 0102 8001 4123 00FF 0001 00 00 | 4200 0102 8001 4123 00FF 0001 00 00 ADC_A_H
8C FF28 FF7F 1020 8001 BEEF 1357 00 00 | 7F2D FF7F 1020 8001 BEEF 1357 00 00 ADC_A_H
8C 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 3C39 8040 AA55 FFFF 0F0F 8080 00 00 ADC_A_H
8C 8055 0F10 7F80 0001 1234 4321 00 00 | 8180 0F10 7F80 0001 1234 4321 00 00 ADC_A_H
8C 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 0F08 C0F0 3CC3 00FF F00F 0FF0 00 00 ADC_A_H
8C 1093 55AA 2710 7FFF 8000 00C0 00 00 | 9094 55AA 2710 7FFF 8000 00C0 00 00 ADC_A_H
8D 0000 0001 0408 1234 5678 C0DE 00 00 | 3420 0001 0408 1234 5678 C0DE 00 00 ADC_A_L
8D 00FF 0102 8001 4123 00FF 0001 00 00 | 2420 0102 8001 4123 00FF 0001 00 00 ADC_A_L
8D FF28 FF7F 1020 8001 BEEF 1357 00 00 | 0051 FF7F 1020 8001 BEEF 1357 00 00 ADC_A_L
8D 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 3C39 8040 AA55 FFFF 0F0F 8080 00 00 ADC_A_L
8D 8055 0F10 7F80 0001 1234 4321 00 00 | 8280 0F10 7F80 0001 1234 4321 00 00 ADC_A_L
8D 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 0E19 C0F0 3CC3 00FF F00F 0FF0 00 00 ADC_A_L
8D 1093 55AA 2710 7FFF 8000 00C0 00 00 | 1011 55AA 2710 7FFF 8000 00C0 00 00 ADC_A_L
8E 0000 A000 A001 A000 A000 A000 00 00 | 0040 A000 A001 A000 A000 A000 00 00 ADC_A_(HL)
8E 00FF A000 A001 A000 A000 A000 08 80 | 0908 A000 A001 A000 A000 A000 08 80 ADC_A_(HL)
8E FF28 A000 A001 A000 A000 A000 28 0F | 2731 A000 A001 A000 A000 A000 28 0F ADC_A_(HL)
8E 3C01 A000 A001 A000 A000 A000 FF 55 | 3C39 A000 A001 A000 A000 A000 FF 55 ADC_A_(HL)
8E 8055 A000 A001 A000 A000 A000 AC 18 | 2D2D A000 A001 A000 A000 A000 AC 18 ADC_A_(HL)
8E 0F10 A000 A001 A000 A000 A000 80 C0 | 8F88 A000 A001 A000 A000 A000 80 C0 ADC_A_(HL)
8E AAC3 A000 A001 A000 A000 A000 07 F7 | B2B0 A000 A001 A000 A000 A000 07 F7 ADC_A_(HL)
8E 1093 A000 A001 A000 A000 A000 42 01 | 5300 A000 A001 A000 A000 A000 42 01 ADC_A_(HL)
8F 0000 0001 0408 1234 5678 C0DE 00 00 | 0040 0001 0408 1234 5678 C0DE 00 00 ADC_A_A
8F 00FF 0102 8001 4123 00FF 0001 00 00 | 0100 0102 8001 4123 00FF 0001 00 00 ADC_A_A
8F FF28 FF7F 1020 8001 BEEF 1357 00 00 | FEB9 FF7F 1020 8001 BEEF 1357 00 00 ADC_A_A
8F 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 7938 8040 AA55 FFFF 0F0F 8080 00 00 ADC_A_A
8F 8055 0F10 7F80 0001 1234 4321 00 00 | 0105 0F10 7F80 0001 1234 4321 00 00 ADC_A_A
8F 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 1E18 C0F0 3CC3 00FF F00F 0FF0 00 00 ADC_A_A
8F 1093 55AA 2710 7FFF 8000 00C0 00 00 | 2120 55AA 2710 7FFF 8000 00C0 00 00 ADC_A_A
90 0000 0001 0408 1234 5678 C0DE 00 00 | 0042 0001 0408 1234 5678 C0DE 00 00 SUB_A_B
90 00FF 0102 8001 4123 00FF 0001 00 00 | FFBB 0102 8001 4123 00FF 0001 00 00 SUB_A_B
90 FF28 FF7F 1020 8001 BEEF 1357 00 00 | 0042 FF7F 1020 8001 BEEF 1357 00 00 SUB_A_B
90 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | BCAF 8040 AA55 FFFF 0F0F 8080 00 00 SUB_A_B
90 8055 0F10 7F80 0001 1234 4321 00 00 | 7136 0F10 7F80 0001 1234 4321 00 00 SUB_A_B
90 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 4F0B C0F0 3CC3 00FF F00F 0FF0 00 00 SUB_A_B
90 1093 55AA 2710 7FFF 8000 00C0 00 00 | BBBB 55AA 2710 7FFF 8000 00C0 00 00 SUB_A_B
91 0000 0001 0408 1234 5678 C0DE 00 00 | FFBB 0001 0408 1234 5678 C0DE 00 00 SUB_A_C
91 00FF 0102 8001 4123 00FF 0001 00 00 | FEBB 0102 8001 4123 00FF 0001 00 00 SUB_A_C
91 FF28 FF7F 1020 8001 BEEF 1357 00 00 | 8082 FF7F 1020 8001 BEEF 1357 00 00 SUB_A_C
91 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | FCAB 8040 AA55 FFFF 0F0F 8080 00 00 SUB_A_C
91 8055 0F10 7F80 0001 1234 4321 00 00 | 7026 0F10 7F80 0001 1234 4321 00 00 SUB_A_C
91 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 1F0B C0F0 3CC3 00FF F00F 0FF0 00 00 SUB_A_C
91 1093 55AA 2710 7FFF 8000 00C0 00 00 | 6633 55AA 2710 7FFF 8000 00C0 00 00 SUB_A_C
92 0000 0001 0408 1234 5678 C0DE 00 00 | FCBB 0001 0408 1234 5678 C0DE 00 00 SUB_A_D
92 00FF 0102 8001 4123 00FF 0001 00 00 | 8087 0102 8001 4123 00FF 0001 00 00 SUB_A_D
92 FF28 FF7F 1020 8001 BEEF 1357 00 00 | EFAA FF7F 1020 8001 BEEF 1357 00 00 SUB_A_D
92 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 9287 8040 AA55 FFFF 0F0F 8080 00 00 SUB_A_D
92 8055 0F10 7F80 0001 1234 4321 00 00 | 0116 0F10 7F80 0001 1234 4321 00 00 SUB_A_D
92 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | D383 C0F0 3CC3 00FF F00F 0FF0 00 00 SUB_A_D
92 1093 55AA 2710 7FFF 8000 00C0 00 00 | E9BB 55AA 2710 7FFF 8000 00C0 00 00 SUB_A_D
93 0000 0001 0408 1234 5678 C0DE 00 00 | F8BB 0001 0408 1234 5678 C0DE 00 00 SUB_A_E
93 00FF 0102 8001 4123 00FF 0001 00 00 | FFBB 0102 8001 4123 00FF 0001 00 00 SUB_A_E
93 FF28 FF7F 1020 8001 BEEF 1357 00 00 | DF8A FF7F 1020 8001 BEEF 1357 00 00 SUB_A_E
93 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | E7A3 8040 AA55 FFFF 0F0F 8080 00 00 SUB_A_E
93 8055 0F10 7F80 0001 1234 4321 00 00 | 0042 0F10 7F80 0001 1234 4321 00 00 SUB_A_E
93 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 4C0B C0F0 3CC3 00FF F00F 0FF0 00 00 SUB_A_E
93 1093 55AA 2710 7FFF 8000 00C0 00 00 | 0042 55AA 2710 7FFF 8000 00C0 00 00 SUB_A_E
94 0000 0001 0408 1234 5678 C0DE 00 00 | EEBB 0001 0408 1234 5678 C0DE 00 00 SUB_A_H
94 00FF 0102 8001 4123 00FF 0001 00 00 | BFBB 0102 8001 4123 00FF 0001 00 00 SUB_A_H
94 FF28 FF7F 1020 8001 BEEF 1357 00 00 | 7F2A FF7F 1020 8001 BEEF 1357 00 00 SUB_A_H
94 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 3D3B 8040 AA55 FFFF 0F0F 8080 00 00 SUB_A_H
94 8055 0F10 7F80 0001 1234 4321 00 00 | 8082 0F10 7F80 0001 1234 4321 00 00 SUB_A_H
94 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 0F0A C0F0 3CC3 00FF F00F 0FF0 00 00 SUB_A_H
94 1093 55AA 2710 7FFF 8000 00C0 00 00 | 9193 55AA 2710 7FFF 8000 00C0 00 00 SUB_A_H
95 0000 0001 0408 1234 5678 C0DE 00 00 | CC9B 0001 0408 1234 5678 C0DE 00 00 SUB_A_L
95 00FF 0102 8001 4123 00FF 0001 00 00 | DD9B 0102 8001 4123 00FF 0001 00 00 SUB_A_L
95 FF28 FF7F 1020 8001 BEEF 1357 00 00 | FEAA FF7F 1020 8001 BEEF 1357 00 00 SUB_A_L
95 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 3D3B 8040 AA55 FFFF 0F0F 8080 00 00 SUB_A_L
